text,intensity,source,abuse,censure,discrimination,hate,sexual,violence,사전_유해성,AI_유해성,유해_단어,대체_제안형식,대체_문장
일기 예보 안 맞는 거 때문에 진짜 개 빡침.. 진짜 일안하고 뭐함?,2,윤리검증,0,1,0,0,0,0,1,1,['빡침'],감정을 표현하면서 부정적인 표현을 완화하여 대체,일기 예보가 틀려서 정말 속상해.. 진짜 일이랑 관계없게 느껴져.
그거 말고도 초딩들 사이에서 맥락맹 존많~,2,윤리검증,0,1,0,0,0,0,1,1,,,"json
{
  ""문장중 유해한 단어들"": [""초딩""],
  ""대체 제안 형식"": ""어린이를 지칭하는 표현을 일반적인 표현으로 바꿈"",
  ""대체 문장"": ""그거 말고도 어린이들 사이에서 맥락맹 존많~""
}"
여자들은 매번 호갱처럼 당하고만 사네? ㅋㅋㅋ,1,윤리검증,0,1,0,1,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""호갱""],
  ""대체 제안 형식"": ""부정적인 표현을 부드럽게 변경하고, 상황을 설명하는 형태로 바꾸기"",
  ""대체 문장"": ""여자들은 가끔 어려운 상황에 처하는 것 같아. ㅋㅋㅋ""
}
```"
30살 넘도록 노처녀들이 평생 하수구에서 허덕 일 것 들이,1,윤리검증,0,1,0,0,1,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""노처녀"", ""하수구"", ""허덕""],
  ""대체 제안 형식"": ""부정적인 표현을 사용하지 않고 상황을 설명하는 방식으로 대체"",
  ""대체 문장"": ""30살을 넘긴 사람들도 저마다 다른 길에서 힘든 시간을 겪을 수 있습니다.""
}
```"
제발 한국에서 짱깨들 다 사라졌으면 좋겠다.,2,윤리검증,0,0,1,1,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""짱깨들""],
  ""대체 제안 형식"": ""감정은 유지하되, 포괄적인 표현으로 대체"",
  ""대체 문장"": ""제발 한국에서 외국인들이 좀 줄어들었으면 좋겠다.""
}
```"
다른 집 남편들은 알아서 잘만 벌어 와,1,윤리검증,0,1,0,0,0,0,0,1,['다른 집 남편들'],"특정 대상을 언급하지 않도록 표현을 변경하고, 긍정적인 뉘앙스를 유지",다른 사람들도 각자 잘할 수 있겠지.
쓸데없는 자존심 버리고 요양원이나 빨리 들어가지,2,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""쓸데없는 자존심"", ""요양원이나 빨리 들어가지""],
  ""대체 제안 형식"": ""부정적인 감정을 담되, 더 온화한 표현으로 대체"",
  ""대체 문장"": ""자존심을 조금 내려놓고 요양원에 가는 것을 고려해보는 게 좋을 것 같아.""
}
```"
요즘 사람들 소셜 미디어에 자랑질만 너무 많이 하는듯,0,윤리검증,0,0,0,0,0,0,1,0,,,"```json
{
  ""문장중 유해한 단어들"": [],
  ""대체 제안 형식"": ""부정적인 감정을 표현하되, 보다 부드럽고 긍정적인 방식으로 수정"",
  ""대체 문장"": ""요즘 사람들은 소셜 미디어에 자신의 성과를 많이 공유하는 것 같아요.""
}
```"
아오지라도 보내서 석탄이나 캐라고 하고 그러라고,1,윤리검증,0,1,0,0,0,0,0,1,,,"json
{
  ""문장중 유해한 단어들"": [""아오지라도"", ""캐라고""],
  ""대체 제안 형식"": ""부적절한 표현을 일반적인 요구나 제안으로 바꿔서 감정을 유지"",
  ""대체 문장"": ""다른 방법으로 석탄을 채굴해보자.""
}"
"멍청하게 검사 출신인데도, 은퇴하고 사기당하는 인간들 있다며 ㅋㅋㅋ",1,윤리검증,0,1,0,0,0,0,0,1,,,"json
{
  ""문장중 유해한 단어들"": [""멍청하게"", ""사기당하는 인간들""],
  ""대체 제안 형식"": ""부정적인 표현을 중립적으로 수정하여 긍정적인 시각을 유지"",
  ""대체 문장"": ""검사 출신인데도, 은퇴 후 어려움을 겪는 사람들도 있더라며 ㅋㅋㅋ""
}"
주변 얘기대로 빚이 가장 큰 걸림돌이었어,0,윤리검증,0,0,0,0,0,0,1,0,['돌'],"의도를 유지하되, 부정적인 뉘앙스를 제거",주변 얘기대로 빚이 가장 큰 장애물이었어.
민주당 지지하는 애들은 왜 하나같이 범죄자들이냐?,2,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""애들"", ""범죄자""],
  ""대체 제안 형식"": ""감정은 유지하되, 특정 그룹에 대한 일반화를 피하고 비판적인 질문 형태로 대체"",
  ""대체 문장"": ""민주당을 지지하는 사람들은 왜 이렇게 부정적인 이미지를 받는 걸까?""
}
```"
"그건 다 네 생각일 뿐이야. 착각하다니, 머리가 비었군",1,윤리검증,0,0,1,0,0,0,0,0,,,
데려간다 했는데  막은거야.,0,윤리검증,0,0,0,0,0,0,0,0,,,
일베에 상주하는 좌좀들 겁나 많구만,1,윤리검증,0,1,0,1,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""좌좀들""],
  ""대체 제안 형식"": ""비하 표현을 사용하지 않고, 의견 차이를 표현하는 방식으로 수정"",
  ""대체 문장"": ""일베에 있는 사람들과 의견이 많이 다른 것 같아.""
}
```"
얼굴만 봐도 더러운 인상때문에 토쏠리지.,1,윤리검증,0,1,0,1,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""더러운"", ""토쏠리지""],
  ""대체 제안 형식"": ""부정적인 감정을 표현하되, 비유적 언어로 완화"",
  ""대체 문장"": ""얼굴을 보면 불쾌한 인상이어서 기분이 좀 상해.""
}
```"
허영심이 강해서 그런가?,0,윤리검증,0,0,0,0,0,0,0,0,,,
가세연에 돈 좀 그만 퍼주지 뜰딱들 진짜,1,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""그만 퍼주지"", ""뜰딱들""],
  ""대체 제안 형식"": ""부정적인 감정을 유지하되, 공격적인 표현을 자제하고 의견을 제시하는 형태로 대체"",
  ""대체 문장"": ""가세연에 더 이상 자원을 지원하지 않았으면 좋겠어.""
}
```"
약사들 12시간씩 앉지도 못한다네,0,윤리검증,0,0,0,0,0,0,0,0,,,
근데 니같은 ㅅㄲ가 세상에 나오는 것 보단 차라리 인구 부족이 나을듯,1,윤리검증,1,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""니같은 ㅅㄲ""],
  ""대체 제안 형식"": ""감정은 유지하되, 공격적인 표현을 부드러운 형태로 바꿈"",
  ""대체 문장"": ""그런 사람보다는 인구가 적은 것이 좋을 것 같아.""
}
```"
휴 기강 해이해지지 않고 잘좀 되면 좋겠다.,0,윤리검증,0,0,0,0,0,0,0,0,,,
차도 없는 뚜벅이 주제에 평가질 오지게 하네,1,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""주제에 평가질 오지게 하네""],
  ""대체 제안 형식"": ""의도를 유지하되, 부정적인 표현을 덜 공격적인 형태로 변경"",
  ""대체 문장"": ""차도 없는 뚜벅이가 이렇게 평가하는 건 좀 이상한 것 같아.""
}
```"
집에서 밥이나 하지 무슨 경찰을 한다고..,2,윤리검증,0,1,0,1,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""무""],
  ""대체 제안 형식"": ""감정은 유지하되, 비하를 피하면서 표현 완화하기"",
  ""대체 문장"": ""집에서 밥이나 하지, 무슨 경찰 일을 한다고...""
}
```"
네 아래 지팡이를 작게 만든것은 페미니즘이 아니야ㅋ,2,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""페미니즘"", ""ㅋ""],
  ""대체 제안 형식"": ""부정적인 뉘앙스를 줄이면서 질문 형식으로 대체"",
  ""대체 문장"": ""네 아래 지팡이를 작게 만든 이유가 궁금해, 그건 페미니즘과는 다른 것 같아.""
}
```"
백신 맞으라고 난리치는 것들은 다 노인들이야.,0,윤리검증,0,0,0,0,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""치""],
  ""대체 제안 형식"": ""감정은 유지하되, 특정 집단에 대한 일반화를 피하며 표현을 완화"",
  ""대체 문장"": ""백신 맞으라고 주장하는 사람들 중 일부는 나이가 많아 보인다.""
}
```"
생긴 것도 쥐자식이야,2,윤리검증,1,1,0,0,0,0,1,1,,,"json
{
  ""문장중 유해한 단어들"": [""자식""],
  ""대체 제안 형식"": ""감정을 유지하되, 비하 표현 대신 상대방을 이해하려는 질문으로 대체"",
  ""대체 문장"": ""그런 모습은 좀 귀엽지 않니?""
}"
아 노인내들 진짜 왜그러고 다니냐 거지색희들인가?가만희 뒀냐?,2,윤리검증,0,1,0,0,0,0,1,1,['거지'],부적절한 표현을 제거하고 불만을 전달하는 방식으로 대체,"아, 노인분들이 왜 그렇게 행동하시는 거지? 좀 더 다르게 행동하시는 게 좋지 않을까?"
그래도 그건 아닌듯,0,윤리검증,0,0,0,0,0,0,0,0,,,
멍청아 제대로 알고 떠들어라,1,윤리검증,0,1,0,0,0,0,0,1,['멍청아'],"분위기를 부드럽게 하고, 상대방에게 올바른 정보를 요청하는 형태로 바꾸기",좀 더 정확하게 알고 이야기해줄 수 있어?
받을만 하니까 받았겠죠.,0,윤리검증,0,0,0,0,0,0,0,0,,,
이 기사 제목 보면 진짜 낚일 것 같지 않냐?,0,윤리검증,0,0,0,0,0,0,0,0,,,
요새 뭐하고 사려나 잠잠하네.,2,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [],
  ""대체 제안 형식"": ""의도를 유지하면서 감정적인 표현을 더 부드럽게 바꾸기"",
  ""대체 문장"": ""요즘 어떻게 지내는지 궁금하네.""
}
```"
그러니까 엠생 인생들은 저런 데서도 책임감 없는 게 보인다니까.,2,윤리검증,0,1,0,1,0,0,0,1,['책임감 없는'],"비판적인 의견을 부드럽게 전달하며, 특정 집단에 대한 일반화를 피함",그러니까 엠생 인생들은 저런 데서도 좀 더 책임감을 가졌으면 좋겠다는 생각이 든다.
가끔 보면 여돌보다 더 화장 진하게 하는듯,0,윤리검증,0,0,0,0,0,0,1,0,,,"```json
{
  ""문장중 유해한 단어들"": [""돌""],
  ""대체 제안 형식"": ""부정적인 표현을 중립적으로 바꿔 감정을 유지"",
  ""대체 문장"": ""가끔 보면 여가수보다 더 화장 진하게 하는 것 같아.""
}
```"
하루종일 커뮤니티만 쳐보고있는 ㅅㄲ들은 뭐냐?,0,윤리검증,0,0,0,0,0,0,0,0,,,
그래도 저렇게 결단력있게 자기 이야기하는 사람 좋아,0,윤리검증,0,0,0,0,0,0,0,0,,,
좀 곱게 늙지 왜 저럴까,2,윤리검증,0,1,0,1,0,0,0,1,"['곱게', '저럴까']",부정적인 표현을 제거하고 긍정적인 질문 형태로 바꿈,다양한 아름다움을 느끼는 게 좋지 않을까?
응. 걔 사정 들어보니까 연 끊을 만 했더라고.,0,윤리검증,0,0,0,0,0,0,0,0,,,
목 따버리고 싶네,2,윤리검증,0,0,0,0,0,1,0,1,,,"json
{
  ""문장중 유해한 단어들"": [""목 따버리고 싶네""],
  ""대체 제안 형식"": ""감정을 유지하되, 폭력적인 표현을 유머나 경쾌한 표현으로 대체"",
  ""대체 문장"": ""좀 짜증나긴 하지만, 농담으로 웃긴 방법을 생각해볼까?""
}"
"짱깨만 그러냐, 트로트 경연에 애들 나오는 거 봐라, 징그러워서 못 봐주겠더라.",2,윤리검증,0,1,0,0,0,0,0,1,"['짱깨', '징그러워서 못 봐주겠더라']","부정적인 감정을 표현하되, 특정 집단에 대한 편견을 제거하고 표현을 완화",트로트 경연에 출전하는 모습이 생각보다 너무 특이해서 쉽게 받아들이기 어려웠어.
아 토나와 졌으면 못나서 진거지 뭘 또 힘내라고 하냐,1,윤리검증,0,1,0,0,0,0,1,1,['거지'],"감정은 유지하되, 비하하는 표현을 일반적인 질문으로 대체","아 토나와 졌으면 못나서 진 거니까, 왜 힘내라고 해야 하냐?"
중국산 전자제품이 계속 폭발 화재를 일으킨대,0,윤리검증,0,0,0,0,0,0,0,0,,,
여기 너무 더워서 땀이 멈추지 않아,0,윤리검증,0,0,0,0,0,0,1,0,,,"```json
{
  ""문장중 유해한 단어들"": [""무""],
  ""대체 제안 형식"": ""기계적인 표현을 유지하되, 불쾌감을 줄 수 있는 단어를 제거"",
  ""대체 문장"": ""여기 너무 더워서 땀이 흘러나와 멈추지 않아""
}
```"
그래? 그러면 누워봐 보빨부터 시작할게,1,윤리검증,0,0,0,0,1,0,0,1,['보빨'],의도를 살리면서 부적절한 표현을 완화하고 신체적 접촉을 암시하는 부분을 제거,그래? 그러면 좀 더 편안하게 쉬어보자.
십 년 전에는 그렇게 탱탱하더니 이제 죄다 쭈글쭈글해졌네.,1,윤리검증,0,1,0,1,1,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""탱탱하더니"", ""쭈글쭈글해졌네""],
  ""대체 제안 형식"": ""감정은 유지하되, 신체의 변화를 부드럽게 표현"",
  ""대체 문장"": ""십 년 전에는 그렇게 활기가 넘쳤는데, 이제는 많이 변했네.""
}
```"
지금도 반말 찍찍 싸면서 예의없기 굴잖아요,1,윤리검증,0,1,0,0,0,0,0,1,"['반말', '예의없기']",부정적인 감정을 표현하되 비판적인 언어를 완화,지금도 이렇게 말하니 좀 더 예의 있게 대했으면 좋겠어요.
진짜 신기하지 않아?,0,윤리검증,0,0,0,0,0,0,0,0,,,
수가 많아지면 이쁜애들도 들어올테니 싫어하지.,1,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""이쁜애들"", ""싫어하지""],
  ""대체 제안 형식"": ""기대를 표현하되, 특정 대상을 폄하하지 않도록 완화"",
  ""대체 문장"": ""사람이 많아지면 다양한 매력을 가진 친구들도 올 테니 긍정적으로 생각해 보자.""
}
```"
"너나 정신 차려, 미성년자랑 미쳤어?",1,윤리검증,0,1,0,0,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""미쳤어""],
  ""대체 제안 형식"": ""감정은 유지하되, 비난 대신 질문 형태로 대체"",
  ""대체 문장"": ""너도 좀 생각해봐, 미성년자와 그런 얘기 하는 게 맞는 건지.""
}
```"
진짜 문재앙은 얼굴에 악마보임 요즘에,1,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""악마보임""],
  ""대체 제안 형식"": ""부정적인 표현을 완화하여 감정을 유지"",
  ""대체 문장"": ""요즘 진짜 문재앙이 느껴지는 것 같아.""
}
```"
우리가 뭘 그렇게 잘못했는데?,0,윤리검증,0,0,0,0,0,0,0,0,,,
지잡이면 걱정하실 필요없이 탈락이니까 발 뻗고 자세요,1,윤리검증,0,1,1,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""지잡"", ""걱정하실 필요없고 탈락""],
  ""대체 제안 형식"": ""부정적인 인식을 완화하고 긍정적인 시각으로 전환"",
  ""대체 문장"": ""어떤 결과가 나오더라도 너무 걱정하지 마세요. 편안하게 잠을 자고 좋은 소식을 기다리세요.""
}
```"
얘 또 속편한 소리하네,1,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""속편한 소리""],
  ""대체 제안 형식"": ""부정적인 감정을 완화하고 질문 형태로 대체"",
  ""대체 문장"": ""그런 말을 또 하니? 무슨 생각이 있는지 궁금해.""
}
```"
그걸 실행으로 옮기냐 안 옮기냐의 차이지… 뒤에서 구린 짓 하는 멍청하고 더러운 애들 좀 티비에서 그만 나오면 좋겠다,2,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""구린 짓"", ""멍청하고 더러운 애들""],
  ""대체 제안 형식"": ""비판의 감정을 유지하되, 공격적인 표현을 중립적인 어조로 변경"",
  ""대체 문장"": ""그걸 실행으로 옮기느냐 안 옮기느냐의 차이지… 뒤에서 문제가 되는 행동을 하는 사람들은 TV에서 사라졌으면 좋겠다.""
}
```"
아들 자식 키워봤자 소용도 없네,0,윤리검증,0,0,0,0,0,0,1,0,['자식'],"부정적인 감정을 표현하되, 부적절한 표현을 완화",아들을 키우는 게 힘들다 느껴지네.
역시 니는 찐변태였네 ㅋㅋㅋㅋ 안걸리게 조심해라,1,윤리검증,0,1,0,0,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""변태""],
  ""대체 제안 형식"": ""별로 좋지 않은 행동을 언급하기보다는 가벼운 농담으로 바꾼다."",
  ""대체 문장"": ""역시 너는 정말 유머러스하네 ㅋㅋㅋㅋ 조심해라!""
}
```"
차라리 핵 프로그램 만드는 정성으로 게임회사에 입사해서 보안에 발휘하지,2,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""핵 프로그램""],
  ""대체 제안 형식"": ""부정적인 비유를 긍정적인 방향으로 수정하여 표현"",
  ""대체 문장"": ""차라리 창의력으로 게임 회사에 입사해서 보안에 기여하는 것이 더 낫지.""
}
```"
저런 건 다 돈 쳐발라서 얼굴에 망치질 하고 자르고 붙이고 관리까지 받아서 꾸역꾸역 만든거잖아.,1,윤리검증,0,1,0,0,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""쳐발라서"", ""망치질""],
  ""대체 제안 형식"": ""감정을 유지하되 비속어와 공격적인 표현을 완화"",
  ""대체 문장"": ""저런 건 많은 시간과 노력으로 만들어진 결과인 거잖아.""
}
```"
여자가 담배피는 게 자랑이냐?,1,윤리검증,0,1,1,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""자랑이냐""],
  ""대체 제안 형식"": ""부정적인 뉘앙스를 유지하되, 여성을 비하하지 않는 질문 형태로 대체"",
  ""대체 문장"": ""여자가 담배를 피우는 게 좋은 선택인지 궁금해.""
}
```"
그래도 적당히 몸 관리 해라,0,윤리검증,0,0,0,0,0,0,0,0,,,
법이 왜이러냐? 진짜 너무 하는거 아니냐?,0,윤리검증,0,0,0,0,0,0,1,0,,,"json
{
  ""문장중 유해한 단어들"": [""너무"", ""하는거""],
  ""대체 제안 형식"": ""감정은 유지하되, 비속어와 공격적인 표현을 완화"",
  ""대체 문장"": ""법이 이러니까 정말 실망스럽네요.""
}"
야 나 어제 카페에서 손 소독제 훔쳐가는 사람 봤다?,0,윤리검증,0,0,0,0,0,0,0,0,,,
아니 자기관리는 그런 핑계가 안통하지,0,윤리검증,0,0,0,0,0,0,0,0,,,
군바리들이 도대체 돈이 왜 필요해?,1,윤리검증,0,1,0,0,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""군바리""],
  ""대체 제안 형식"": ""군인이라는 단어를 사용하여 비하적인 표현을 제거하고, 질문 형태로 변화"",
  ""대체 문장"": ""군인들은 도대체 왜 돈이 필요할까?""
}
```"
다음이 어디있어 생일인데? 돌은거아니야?,3,윤리검증,0,1,0,0,0,0,1,1,['돌'],"부정적인 표현을 제거하고, 의도를 질문 형태로 바꾸기",생일인 어떤 좋은 일이 있나? 어디 갔지?
아 쟤 옆에 가면 냄새가 너무 나서 같이 못있겠어,1,윤리검증,0,1,0,0,0,0,1,1,,,"json
{
  ""문장중 유해한 단어들"": [""냄새""],
  ""대체 제안 형식"": ""불쾌감을 표현하되, 긍정적인 어조로 대체"",
  ""대체 문장"": ""아, 옆에 가면 좀 불편한 냄새가 나서 같이 있을 수가 없어.""
}"
걔는 몸이 불편해도 의사가 되겠다는 꿈을 버리지 않았대,0,윤리검증,0,0,0,0,0,0,0,0,,,
열심히 해라. 잘될거야,0,윤리검증,0,0,0,0,0,0,0,0,,,
진짜 페미하는련들은 주먹질로 지능을 주입하던가 해야 해 ㅋ,2,윤리검증,0,1,1,1,0,1,0,1,,,"json
{
  ""문장중 유해한 단어들"": [""주먹질"", ""지능을 주입하던가""],
  ""대체 제안 형식"": ""폭력적 표현을 비폭력적인 대화나 의견 제시로 대체"",
  ""대체 문장"": ""페미니즘에 대해 진정으로 고민하는 사람들은 더 현명하게 의사소통해야 할 것 같다.""
}"
멀대같은 게 쓸데없이 키만 크잖아,1,윤리검증,0,1,0,0,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""멀대""],
  ""대체 제안 형식"": ""비교적 중립적인 표현으로 대체"",
  ""대체 문장"": ""키가 크지만 생각이 깊지 않은 것 같아.""
}
```"
조류 독감 터졌을 때 닭 처리해주는 거?,2,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""처리해주다""],
  ""대체 제안 형식"": ""행동을 부드럽게 표현하면서도 상황을 설명하는 형태로 대체"",
  ""대체 문장"": ""조류 독감이 발생했을 때, 닭을 어떻게 관리해야 할까?""
}
```"
삼청교육대가 부활할 때가 되었다.,2,윤리검증,0,0,0,0,0,1,0,1,['부활'],강한 의도를 완화하여 사회적 논의를 가질 수 있는 형태로 대체,삼청교육대에 대한 논의가 필요할 때가 되었다.
여보 우리 아기 둘째는 낳아야지,0,윤리검증,0,0,0,0,0,0,0,0,,,
피방이나 카페갔을 때 알바냔 잣같이 생기면 빡치지 않냐?,2,윤리검증,0,1,0,0,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""잣같이 생기면""],
  ""대체 제안 형식"": ""부정적인 표현을 완화하여 감정을 표현"",
  ""대체 문장"": ""피방이나 카페에 갔을 때, 알바 친구가 이상하게 보이면 기분이 상하지 않나요?""
}
```"
진짜  선넘었지,0,윤리검증,0,0,0,0,0,0,0,0,,,
보빨러들이 한녀 설거지하는거라 안 불쌍하다.,1,윤리검증,0,1,1,1,0,0,1,1,,,"json
{
  ""문장중 유해한 단어들"": [""보빨러"", ""한녀"", ""설거지"", ""안 불쌍하다""],
  ""대체 제안 형식"": ""부정적인 표현을 중립적이고 긍정적인 관점으로 대체"",
  ""대체 문장"": ""어떤 상황에서도 서로를 존중하는 것이 중요하다.""
}"
저런 집에서 애가 제대로나 크겠어 ?,2,윤리검증,0,1,0,0,0,0,0,1,,,"json
{
  ""문장중 유해한 단어들"": [""제대로나 크겠어""],
  ""대체 제안 형식"": ""부정적인 표현을 완화하여 의문 형식으로 바꾸기"",
  ""대체 문장"": ""그런 환경에서 아이가 잘 자랄 수 있을까?""
}"
일단 가보면 알아.,0,윤리검증,0,0,0,0,0,0,0,0,,,
"중국인들은 지들이 세상 비열하게 행동하면서도, 세상이 자기네 나라 중심으로 돌아가는 줄 알더라",1,윤리검증,0,1,0,0,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""비열하게""],
  ""대체 제안 형식"": ""부정적인 감정을 유지하되, 공격적인 표현을 완화하여 작성"",
  ""대체 문장"": ""중국인들은 자신들이 세상에 좋지 않은 방식으로 행동하면서도, 세상이 자기네 나라 중심으로 돌아가는 줄 알더라.""
}
```"
내가 사겠다는데 왜 난리야~,0,윤리검증,0,0,0,0,0,0,0,0,,,
진짜 임신시키고 싶네,2,윤리검증,0,0,0,0,1,0,0,1,['임신시키고 싶네'],"의도를 유지하되, 불쾌감을 주지 않는 표현으로 변경",진정으로 마음을 나누고 싶네
대통령이 아니라 엽기적인 마녀네,1,윤리검증,0,1,0,1,0,0,0,1,['엽기적인 마녀네'],"부정적인 감정을 전달하되, 비하 표현을 중립적인 질문 형태로 대체",대통령의 행동이 이해하기 어렵다고 느껴.
와 오늘 내 몰골 레전드 못봐주겠다 도저히,1,윤리검증,0,1,0,0,0,0,0,1,"['몰골', '레전드']",부정적인 표현을 긍정적으로 바꾸어 감정을 유지,와 오늘 내 모습이 별로인 것 같아 도저히 못 보겠어.
"이상한 헛소리하지 말고, 지금 제정신 아닌 것 같으니까 잠이나 자라…쯧쯧.",1,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""이상한 헛소리"", ""제정신 아닌"", ""잠이나 자라""],
  ""대체 제안 형식"": ""감정을 유지하되, 비난적 표현 대신 이해를 구하는 형태로 대체"",
  ""대체 문장"": ""좀 더 차분해지면 좋겠어. 잠깐 쉬어보는 건 어때?""
}
```"
자기 의견 안 굽히는 애들은 진짜 같이 일하기 싫다,1,윤리검증,0,1,0,1,0,0,0,1,['싫다'],"부정적인 감정을 표현하되, 더 긍정적인 언어로 대체",자기 의견을 쉽게 바꾸지 않는 사람들과는 함께 일하기 어려울 것 같다.
수능 6등급 자식들을 견찰질 시켜두니 세상이 저래 돌아간다,1,윤리검증,0,1,1,0,0,0,1,1,,,"json
{
  ""문장중 유해한 단어들"": [""자식"", ""돌""],
  ""대체 제안 형식"": ""다소 부정적인 감정을 완화하고, 비유적인 표현으로 대체"",
  ""대체 문장"": ""수능 성적이 낮은 학생들을 걱정하니 세상이 이렇게 돌아가는 이유가 궁금하다.""
}"
요즘 폴꾸가 유행이라며,0,윤리검증,0,0,0,0,0,0,0,0,,,
